date,SRV,poolval,CapRealBTC
2016-07-31,2642.82,978569.99,4959.69
2016-08-01,2741.72,985791.66,4976.99
2016-08-02,2702.38,988923.99,4992.76
2016-08-03,2754.26,1007259.74,5018.38
2016-08-04,2711.39,998095.07,5048.98
2016-08-05,2789.19,1000167.56,5083.23
2016-08-06,2742.17,1017094.76,5113.37
2016-08-07,2756.9,1003651.8,5138.97
2016-08-08,2764.17,1010047.42,5156.23
2016-08-09,2784.6,1007071.64,5185.94
2016-08-10,2777.89,1010810.43,5206.73
2016-08-11,2796.12,1010857.15,5255.05
2016-08-12,2802.53,1014907.11,5321.82
2016-08-13,2862.97,1015875.28,5395.65
2016-08-14,2985.14,1032500.41,5409.86
2016-08-15,2910.8,1034740.52,5419.85
2016-08-16,2938.81,1048526.46,5444.85
2016-08-17,2939.94,1040506.43,5471.99
2016-08-18,2961.82,1043413.01,5499.19
2016-08-19,2979.38,1046646.77,5523.42
2016-08-20,3028.02,1051784.14,5536.85
2016-08-21,2980.47,1060244.16,5560.83
2016-08-22,3035.6,1058435.98,5571.17
2016-08-23,2986.53,1079431.8,5580.62
2016-08-24,3038.66,1064781.91,5610.54
2016-08-25,2991.97,1086557.29,5637.76
2016-08-26,3038.07,1071095.27,5661.77
2016-08-27,3018.69,1080271.17,5685.31
2016-08-28,3024.86,1070372.96,5703.48
2016-08-29,3082.04,1088009.69,5716.63
2016-08-30,3022.4,1082483.01,5731.3
2016-08-31,3021.78,1084740.85,5743.23
2016-09-01,3026.29,1081243.97,5760.03
2016-09-02,3025.95,1082369.84,5769.86
2016-09-03,3032.09,1085277.23,5782.62
2016-09-04,3084.34,1088941.96,5792.22
2016-09-05,3026.42,1101736.06,5805.19
2016-09-06,3076.17,1099628.43,5805.79
2016-09-07,3067.6,1112235.52,5819.81
2016-09-08,3147.95,1106419.71,5826.05
2016-09-09,3073.85,1123953.97,5842.08
2016-09-10,3073.98,1138014.56,5849.07
2016-09-11,3014.57,1116321.87,5863.65
2016-09-12,3013.67,1110500.9,5871.14
2016-09-13,3065.34,1112095.89,5882.05
2016-09-14,3015.93,1112032.81,5893.58
2016-09-15,3036.35,1114636.18,5904.14
2016-09-16,3019.97,1116332.92,5914.99
2016-09-17,3035.44,1119271.99,5919.62
2016-09-18,3081.67,1132163.87,5880.29
2016-09-19,3001.95,1131773.16,5872.75
2016-09-20,3052.2,1144197.04,5874.65
2016-09-21,3010.69,1137522.88,5861.15
2016-09-22,2984.53,1160545.28,5854.96
2016-09-23,3034.39,1144783.46,5843.89
2016-09-24,2974.63,1176873.55,5844.19
2016-09-25,3013.8,1160533.31,5840.48
2016-09-26,2963.76,1167433.7,5826.48
2016-09-27,2964.24,1177116.58,5777.56
2016-09-28,2904.72,1166284.09,5761.25
2016-09-29,2930.36,1172636.82,5733.4
2016-09-30,2856.84,1168072.55,5709.19
2016-10-01,2870.91,1180682.57,5691.89
2016-10-02,2815.52,1172917.86,5675.63
2016-10-03,2870.02,1180058.29,5677.98
2016-10-04,2805.09,1206671.4,5666.11
2016-10-05,2819.79,1194292.69,5668.15
2016-10-06,2768.01,1197657.85,5666.62
2016-10-07,2814.86,1194867.7,5679.07
2016-10-08,2714.88,1216791.93,5666.61
2016-10-09,2731.56,1195970.54,5651.01
2016-10-10,2675.93,1199008.39,5619.12
2016-10-11,2702.38,1180892.03,5579.42
2016-10-12,2643.96,1210358.29,5551.48
2016-10-13,2687.9,1202092.56,5526.42
2016-10-14,2625.56,1231863.6,5512.83
2016-10-15,2609.0,1218218.79,5500.22
2016-10-16,2589.07,1218036.8,5457.26
2016-10-17,2579.77,1227660.01,5438.71
2016-10-18,2516.02,1214926.37,5414.29
2016-10-19,2534.36,1214925.09,5393.68
