date,SRV,poolval,CapRealBTC
2017-06-03,21178.95,2044610.37,38074.91
2017-06-04,20578.89,2048769.07,38519.03
2017-06-05,21486.1,2056052.82,38824.52
2017-06-06,20964.61,2053637.29,39038.52
2017-06-07,21975.22,2055115.61,39448.17
2017-06-08,21376.88,2058445.06,39713.44
2017-06-09,22845.88,2061209.96,40802.47
2017-06-10,22187.59,2073388.76,41256.31
2017-06-11,23297.3,2073324.57,41607.62
2017-06-12,22597.72,2085346.9,41866.37
2017-06-13,23565.68,2074399.45,42206.42
2017-06-14,22911.23,2071237.98,42431.89
2017-06-15,23534.09,2065232.88,42601.01
2017-06-16,22794.27,2054080.5,42889.62
2017-06-17,23466.7,2036837.12,43111.17
2017-06-18,22847.11,2032346.25,43850.02
2017-06-19,23895.83,2017638.53,44707.86
2017-06-20,23246.98,2012988.32,45038.32
2017-06-21,24117.47,2001327.12,45373.42
2017-06-22,23522.69,1996350.12,46073.45
2017-06-23,24805.97,1987764.71,46951.84
2017-06-24,24086.06,1992187.55,47520.85
2017-06-25,25260.01,1981783.93,47689.97
2017-06-26,24537.7,1987608.49,47962.26
2017-06-27,25641.66,1980939.77,48076.28
2017-06-28,24858.82,1986783.12,48324.14
2017-06-29,25821.28,1981344.57,48389.91
2017-06-30,25108.54,1994772.79,48535.16
2017-07-01,26488.43,1982770.49,48278.27
2017-07-02,25732.76,2024078.18,48432.16
2017-07-03,26419.62,2034534.34,48504.38
2017-07-04,25973.79,2053060.78,48770.14
2017-07-05,26564.06,2037849.34,49206.95
2017-07-06,26845.62,2052015.93,49395.14
2017-07-07,26972.99,2065712.02,49263.47
2017-07-08,27574.83,2079560.63,49695.47
2017-07-09,27773.36,2101124.1,49806.07
2017-07-10,27761.18,2113869.2,49443.67
2017-07-11,27780.51,2121401.21,49656.5
2017-07-12,27649.17,2145150.75,49817.47
2017-07-13,27517.08,2137084.42,49739.51
2017-07-14,27464.41,2139943.14,49447.63
2017-07-15,27175.22,2144765.31,49320.95
2017-07-16,27412.86,2141483.72,49059.14
2017-07-17,27353.01,2165893.06,49117.11
2017-07-18,27529.57,2179847.09,49005.05
2017-07-19,27987.94,2194332.95,48766.57
2017-07-20,27980.22,2229987.6,48228.65
2017-07-21,27820.67,2278003.13,48165.55
2017-07-22,27760.74,2282942.31,48198.03
2017-07-23,27569.13,2281429.9,48114.75
2017-07-24,27375.07,2284334.24,48081.31
2017-07-25,27191.79,2273925.75,47986.33
2017-07-26,27059.06,2267917.55,47911.12
2017-07-27,27436.0,2267129.4,47689.78
2017-07-28,27174.11,2305145.24,47355.39
2017-07-29,27195.81,2314429.27,47586.6
2017-07-30,27038.23,2318707.81,47425.92
2017-07-31,27196.35,2317644.41,47509.95
2017-08-01,27132.75,2332804.01,47732.25
2017-08-02,27072.19,2342717.64,47803.48
2017-08-03,27013.35,2339556.75,47766.2
2017-08-04,26929.13,2335855.04,47717.96
2017-08-05,26809.8,2339017.66,47535.86
2017-08-06,26890.63,2343185.41,47629.92
2017-08-07,26760.54,2348618.67,47463.12
2017-08-08,26687.37,2364447.9,47273.65
2017-08-09,26538.42,2369915.31,47267.55
2017-08-10,26495.09,2376533.79,47061.64
2017-08-11,26233.09,2384609.09,46687.55
2017-08-12,25918.96,2395553.65,46066.45
2017-08-13,25601.76,2396076.04,45459.15
2017-08-14,25198.12,2396884.82,44669.02
2017-08-15,25088.58,2403195.88,44826.01
2017-08-16,24752.59,2421354.7,44247.6
2017-08-17,24418.35,2429634.02,43904.45
2017-08-18,24035.78,2427541.34,42917.34
2017-08-19,23902.74,2426158.94,42634.11
2017-08-20,23627.43,2438396.26,42464.26
2017-08-21,23495.98,2444938.64,42389.1
2017-08-22,23313.48,2450688.06,42129.14
2017-08-23,23095.03,2459866.41,41989.3
2017-08-24,22948.21,2468928.55,41981.12
2017-08-25,22805.07,2469665.45,42109.07
2017-08-26,22741.8,2471987.44,42483.69
2017-08-27,22983.4,2460033.24,43638.87
2017-08-28,23031.74,2479750.36,43759.69
2017-08-29,22954.21,2486545.04,43499.55
2017-08-30,23023.84,2486790.92,43831.77
2017-08-31,23210.59,2494080.61,43777.47
2017-09-01,23266.47,2520237.15,43844.87
2017-09-02,23224.59,2546838.65,43764.01
2017-09-03,23098.87,2546937.39,43757.17
2017-09-04,23038.58,2546935.59,43598.95
2017-09-05,22935.61,2543350.86,43546.58
2017-09-06,22859.11,2544900.74,43473.56
2017-09-07,22737.68,2550256.51,43353.07
2017-09-08,22752.73,2553834.87,42836.15
2017-09-09,22656.81,2558572.02,42698.26
2017-09-10,22477.47,2574290.58,42539.25
2017-09-11,22428.96,2577207.73,42451.15
2017-09-12,22228.2,2576242.93,42291.0
2017-09-13,22248.44,2585571.69,42080.09
2017-09-14,22150.07,2595225.37,42081.33
2017-09-15,22080.28,2604890.15,42127.92
2017-09-16,22186.18,2603259.56,42240.02
2017-09-17,22079.04,2599833.17,42253.81
2017-09-18,22121.15,2604924.56,42194.27
2017-09-19,22420.2,2607505.69,42348.11
2017-09-20,22531.27,2632152.39,42712.28
2017-09-21,22556.06,2645357.0,42805.53
2017-09-22,22575.97,2643113.45,42903.59
2017-09-23,22739.79,2639175.45,43277.34
2017-09-24,22804.92,2633273.03,43412.01
2017-09-25,22838.59,2634545.04,43502.12
2017-09-26,22892.62,2636225.12,43569.29
2017-09-27,22921.52,2637120.12,43616.0
2017-09-28,22982.55,2634708.25,43616.39
2017-09-29,22949.78,2643162.15,43629.16
2017-09-30,22993.49,2646991.93,43586.48
2017-10-01,22895.09,2651361.0,43480.55
2017-10-02,22896.81,2648563.32,43478.99
2017-10-03,22962.65,2658848.32,43344.83
2017-10-04,22847.54,2673577.19,43292.05
2017-10-05,22737.32,2675071.81,43154.35
2017-10-06,22618.81,2672786.17,43059.15
2017-10-07,22360.79,2677332.47,42917.02
2017-10-08,22151.7,2669489.98,42657.03
2017-10-09,21892.57,2662848.1,42367.28
2017-10-10,21662.71,2651179.57,41905.46
2017-10-11,21468.29,2649750.8,41709.87
2017-10-12,21510.65,2651083.62,41343.79
2017-10-13,21308.85,2684189.24,41014.28
2017-10-14,21021.76,2709888.43,40744.89
2017-10-15,20763.06,2712752.27,40491.82
2017-10-16,20477.66,2705550.06,40201.53
2017-10-17,20198.14,2704869.38,39998.52
2017-10-18,20025.45,2699791.97,39757.75
2017-10-19,19827.99,2694565.82,39528.94
